PDBID,RMSD,value,message,success,nit,nfev,num_MixOfGauss,num_atoms,num_rotbonds
1NIU,6.58111,-38.00319937492597,Optimization terminated successfully.,True,112,18079,341,22,3
1NR6,8.82751,-37.70519284235909,Optimization terminated successfully.,True,144,22531,241,19,4
1NVQ,4.74947,-55.842346858605666,Optimization terminated successfully.,True,65,10320,507,36,2
1NVR,6.02678,-67.53783662888036,Optimization terminated successfully.,True,65,10365,425,35,2
1OAR,3.41091,-80.25314530424014,Optimization terminated successfully.,True,39,6856,393,22,1
1OKY,5.20115,-51.83204412534285,Optimization terminated successfully.,True,96,15338,368,35,2
1OW4,1.88482,-72.9756152465834,Optimization terminated successfully.,True,152,23989,328,21,3
1P5E,0.698961,-45.360746458567746,Optimization terminated successfully.,True,69,10990,133,13,0
1P7L,6.4345,-25.857921902639728,Optimization terminated successfully.,True,156,23781,269,13,4
1Q1Y,6.19605,-69.05873261936077,Maximum number of iterations has been exceeded.,False,500,78652,409,27,13
1Q3D,5.75905,-26.997815874092645,Optimization terminated successfully.,True,118,18754,424,35,2
1Q5D,6.78623,-46.3533575307803,Optimization terminated successfully.,True,155,24063,504,35,2
1Q95,5.72182,-37.8641902882577,Maximum number of iterations has been exceeded.,False,500,79332,294,16,7
1QPD,5.4878,-37.34638620483329,Optimization terminated successfully.,True,119,19068,259,35,2
1QV0,6.648,-97.35684629455426,Maximum number of iterations has been exceeded.,False,500,78910,582,34,6
1QV1,7.36199,-86.24716190368102,Maximum number of iterations has been exceeded.,False,500,79417,531,34,6
1RF6,6.04342,-48.68428633754599,Optimization terminated successfully.,True,73,11812,290,16,3
1RG9,4.06002,-19.35878683421283,Optimization terminated successfully.,True,219,33539,210,13,4
1RQJ,4.20657,-22.277050142199833,Optimization terminated successfully.,True,222,33857,293,17,4
1S9Q,4.99621,-75.51448825782796,Optimization terminated successfully.,True,348,53950,395,29,9
1SD1,6.2459,-66.0909013003812,Optimization terminated successfully.,True,85,13891,303,19,2
1SL9,8.29654,-71.40290184402436,Maximum number of iterations has been exceeded.,False,500,79235,579,33,6
1T5Z,6.47587,-40.41882865097864,Optimization terminated successfully.,True,68,11036,289,21,0
1T63,6.94403,-44.65514144936127,Optimization terminated successfully.,True,69,10997,324,21,0
1T65,6.42872,-38.9169779738469,Optimization terminated successfully.,True,73,11478,275,21,0
1T73,1.74269,-52.64501147660418,Optimization terminated successfully.,True,64,10387,286,21,0
1T74,3.12923,-50.02980717848174,Optimization terminated successfully.,True,61,9447,282,21,0
1T76,2.33096,-40.04389822894687,Optimization terminated successfully.,True,72,11097,247,21,0
1T79,1.66919,-52.88277099096828,Optimization terminated successfully.,True,66,10197,309,21,0
1T7F,2.52595,-47.892800071883286,Optimization terminated successfully.,True,53,8247,267,21,0
1T7J,9.68223,-45.23445097245919,Maximum number of iterations has been exceeded.,False,500,77732,532,35,13
1T7M,2.65342,-57.25444815882021,Optimization terminated successfully.,True,51,8031,285,21,0
1T7R,6.63293,-45.79300298077028,Optimization terminated successfully.,True,81,12447,291,21,0
1T7T,2.21713,-45.02389446764267,Optimization terminated successfully.,True,53,8849,277,21,0
1T9D,7.03155,-74.19909864536808,Optimization terminated successfully.,True,268,43224,415,26,7
1TN7,5.59249,-71.52035989986777,Optimization terminated successfully.,True,378,62443,351,24,12
1TN8,4.24584,-78.26891257469961,Optimization terminated successfully.,True,306,50133,391,24,12
1TP7,2.51213,-52.03624915473821,Optimization terminated successfully.,True,92,14820,241,17,2
1UNL,6.42348,-58.9801400291564,Optimization terminated successfully.,True,161,25434,339,26,2
1XBC,6.14908,-34.55610563444422,Optimization terminated successfully.,True,136,21319,464,35,2
1XJD,5.67078,-46.89018959521585,Optimization terminated successfully.,True,71,11133,428,35,2
1XK9,3.81702,-55.16832745743719,Optimization terminated successfully.,True,431,65031,265,22,4
1XRY,4.52411,-64.56385970010524,Optimization terminated successfully.,True,358,55162,302,22,9
1YA3,13.6942,-7.883645687409253,Optimization terminated successfully.,True,206,32574,284,23,1
1YHS,2.24027,-54.56820417713688,Optimization terminated successfully.,True,91,14668,427,35,2
1YV5,6.15014,-48.57859817632955,Optimization terminated successfully.,True,196,30375,338,17,4
1ZCW,4.00716,-36.21942519551801,Maximum number of iterations has been exceeded.,False,500,77469,192,19,8
1ZZ1,2.25505,-90.64211147522235,Maximum number of iterations has been exceeded.,False,500,81061,290,19,10
2AA5,6.96161,-47.73383716910955,Optimization terminated successfully.,True,71,11608,276,23,1
2AA6,7.31473,-55.54405755685475,Optimization terminated successfully.,True,63,10296,331,23,1
2ABA,1.36123,-40.15312629163543,Optimization terminated successfully.,True,72,12330,260,23,1
2AMA,6.40259,-50.16143462059287,Optimization terminated successfully.,True,73,11247,302,21,0
2AMT,12.8685,-4.267875792504609,Maximum number of iterations has been exceeded.,False,500,77934,245,19,8
2AWH,5.92544,-63.29409158176003,Optimization terminated successfully.,True,427,67202,317,19,8
2B00,8.82519,-59.950525783113534,Optimization terminated successfully.,True,160,25046,416,33,5
2BAW,6.26103,-62.879356817189645,Optimization terminated successfully.,True,248,38661,316,19,8
2BJ4,5.22473,-56.77459045106099,Optimization terminated successfully.,True,316,49133,357,29,8
2BVC,5.92472,-0.28757161441972323,Maximum number of iterations has been exceeded.,False,500,78611,137,15,6
2BXP,1.34265,-95.7340269337939,Optimization terminated successfully.,True,230,37794,329,23,5
2C1Z,3.98742,-59.63383289812441,Optimization terminated successfully.,True,99,15568,314,21,1
2C47,1.54673,-60.236511160186936,Optimization terminated successfully.,True,82,13156,215,20,2
2C6H,7.93465,-44.831044492361244,Optimization terminated successfully.,True,129,19874,421,32,4
2C7X,8.52956,-49.69130323176488,Optimization terminated successfully.,True,161,24949,522,36,4
2CLE,6.46412,-72.52268542197722,Optimization terminated successfully.,True,111,17563,383,21,8
2CLF,7.30665,-70.0519185070145,Optimization terminated successfully.,True,193,31511,355,21,8
2CLI,7.16307,-90.55258333633058,Optimization terminated successfully.,True,114,18025,439,22,8
2CLL,5.60731,-72.91536140562042,Optimization terminated successfully.,True,209,33105,410,22,8
2DQM,1.719,-87.33632499846733,Optimization terminated successfully.,True,407,62240,332,22,9
2E8X,2.49882,-55.24880140026984,Optimization terminated successfully.,True,349,54650,264,19,8
2EK9,3.94513,-65.99970557699852,Optimization terminated successfully.,True,382,57946,360,22,9
2F9K,5.87226,-47.043706629988975,Optimization terminated successfully.,True,174,26613,296,16,4
2FWZ,3.6092,-62.983461203495025,Optimization terminated successfully.,True,387,60822,371,28,7
2GG6,4.9964,-37.93534411494732,Optimization terminated successfully.,True,90,14223,270,16,3
2GGA,5.60143,-65.57552894329682,Optimization terminated successfully.,True,58,9237,327,16,3
2GGD,5.56324,-54.756841123182454,Optimization terminated successfully.,True,88,14207,279,16,3
2GPU,0.766442,-77.22909306834131,Optimization terminated successfully.,True,382,60557,365,29,8
2GX4,7.26642,-75.00481485518522,Maximum number of iterations has been exceeded.,False,500,77204,475,43,19
2GZL,3.9609,-45.57644146764467,Maximum number of iterations has been exceeded.,False,500,78489,288,19,8
2HC4,9.1618,-59.706099541282086,Optimization terminated successfully.,True,347,54561,370,30,6
2HFK,5.32511,-36.40753656697551,Optimization terminated successfully.,True,80,13466,265,21,1
2HI4,6.19931,-37.68339377394468,Optimization terminated successfully.,True,93,15092,346,21,1
2HPT,4.22915,-83.39384928573277,Optimization terminated successfully.,True,249,37836,368,22,9
2HU4,2.62197,-32.30879834573337,Optimization terminated successfully.,True,338,54466,257,20,7
2HZQ,3.97933,-55.04220886033299,Optimization terminated successfully.,True,63,10336,308,23,1
2I4U,7.44639,-43.67536539781464,Maximum number of iterations has been exceeded.,False,500,81168,407,39,14
2I4V,9.73078,-55.57599289542648,Maximum number of iterations has been exceeded.,False,500,80601,442,39,14
2J9X,1.97475,-71.8757746730368,Optimization terminated successfully.,True,296,47931,362,21,6
2JF9,1.01538,-80.37709479297911,Optimization terminated successfully.,True,308,47901,340,29,8
2JI6,9.41268,-81.55769364767957,Optimization terminated successfully.,True,88,13955,441,26,4
2JI9,9.72028,-91.12229686359237,Optimization terminated successfully.,True,72,11368,448,26,4
2NMY,7.62576,-72.4371818702015,Maximum number of iterations has been exceeded.,False,500,78465,549,49,16
2NMZ,6.62808,-68.53603377356755,Maximum number of iterations has been exceeded.,False,500,78350,584,49,16
2NNK,6.89368,-50.81752202131596,Maximum number of iterations has been exceeded.,False,500,77637,536,49,16
2O0B,2.86977,-60.544698596891934,Optimization terminated successfully.,True,67,11034,289,16,3
2O1O,2.68719,-38.955082155806735,Optimization terminated successfully.,True,250,38376,243,17,4
2O9B,6.5664,-87.68766306311082,Optimization terminated successfully.,True,331,53918,698,43,14
2O9C,5.88022,-85.38325120338268,Optimization terminated successfully.,True,442,73248,714,43,12
2OKL,6.02343,-78.50933796924447,Maximum number of iterations has been exceeded.,False,500,81630,417,27,14
2OOL,10.354,-83.70780329045732,Optimization terminated successfully.,True,494,76940,678,44,13
2OS1,5.39501,-71.3983106739734,Optimization terminated successfully.,True,455,74472,429,27,14
2P7Z,1.75187,-68.54190477801845,Optimization terminated successfully.,True,347,54957,367,29,8
2PIO,2.93267,-52.439384930844675,Optimization terminated successfully.,True,75,12135,277,21,0
2PIR,6.99477,-53.11327698737742,Optimization terminated successfully.,True,64,10261,316,21,0
2Q0U,3.33836,-41.077715725841486,Optimization terminated successfully.,True,110,17382,365,27,1
2Q5Q,2.58073,-93.0549303784516,Optimization terminated successfully.,True,50,7881,433,26,4
2Q6M,7.18845,-30.97835171388416,Optimization terminated successfully.,True,258,39499,326,22,4
2QAK,7.1348,-64.94034766926566,Maximum number of iterations has been exceeded.,False,500,82929,453,40,12
2QBP,8.42263,-81.0569842368892,Optimization terminated successfully.,True,255,42320,535,37,10
2QCI,3.73943,-45.389196177831444,Maximum number of iterations has been exceeded.,False,500,77652,533,40,13
2QD6,8.93805,-61.02435273083767,Maximum number of iterations has been exceeded.,False,500,79112,507,40,13
2QD7,7.91334,-58.72828757662357,Maximum number of iterations has been exceeded.,False,500,77892,431,40,13
2QD8,7.19706,-69.59782015223973,Maximum number of iterations has been exceeded.,False,500,77412,589,40,13
2QFQ,6.35892,-71.11498063014226,Optimization terminated successfully.,True,63,10102,326,16,3
2QFS,6.01515,-67.56814178637676,Optimization terminated successfully.,True,78,13037,288,16,3
2QFT,5.55496,-59.764317538969806,Optimization terminated successfully.,True,143,22422,276,16,3
2QFU,5.79576,-74.12176012377896,Optimization terminated successfully.,True,75,12298,356,16,3
2QIS,6.09514,-45.98709619705376,Optimization terminated successfully.,True,197,30624,302,17,4
2QM9,2.63164,-62.82170189830052,Optimization terminated successfully.,True,184,28742,389,31,5
2QRY,8.2427,-79.38306615059508,Optimization terminated successfully.,True,69,11666,356,22,4
2RH4,3.54797,-51.87876635170409,Optimization terminated successfully.,True,58,9347,228,20,0
2RHC,3.24318,-61.74269529986992,Optimization terminated successfully.,True,63,10153,215,20,0
2RHR,6.16627,-37.496068034446985,Optimization terminated successfully.,True,76,11774,333,20,0
2RJH,5.15684,-46.4251065044099,Optimization terminated successfully.,True,61,10176,339,22,3
2UXU,6.7515,-29.39602529808427,Optimization terminated successfully.,True,88,13874,191,20,1
2V52,0.517467,-48.63810652961248,Optimization terminated successfully.,True,83,13792,326,27,1
2V7A,8.62969,-44.67168706964589,Maximum number of iterations has been exceeded.,False,500,77469,536,35,8
2VG3,5.51774,-37.33387538745421,Maximum number of iterations has been exceeded.,False,500,77886,269,19,9
2VKV,6.39116,-64.30200945251926,Optimization terminated successfully.,True,70,11746,523,31,2
2VUW,3.98889,-73.56288026179023,Optimization terminated successfully.,True,67,11056,292,20,2
2VZM,9.30904,-45.40368924005573,Optimization terminated successfully.,True,164,25113,571,36,4
2W3A,1.98159,-64.74230966962013,Optimization terminated successfully.,True,120,18886,312,21,5
2W3V,5.38877,-77.40312787037436,Optimization terminated successfully.,True,74,11802,387,21,5
2W98,1.68538,-55.727124748918264,Optimization terminated successfully.,True,222,35662,291,23,5
2W9H,6.47089,-32.44021312756874,Optimization terminated successfully.,True,368,57078,230,21,5
2W9S,2.89833,-76.44263819911637,Optimization terminated successfully.,True,147,23044,430,21,5
2WEK,5.58902,-26.630124661998202,Optimization terminated successfully.,True,232,35962,206,19,4
2WK9,4.29549,-68.766654813417,Optimization terminated successfully.,True,373,60220,355,20,7
2WOR,3.93355,-66.68343648710649,Optimization terminated successfully.,True,150,23463,254,21,3
2XBJ,4.54322,-61.276087441602186,Optimization terminated successfully.,True,213,33657,470,32,6
2XPU,6.36739,-50.092328421320445,Optimization terminated successfully.,True,70,11287,511,31,2
2Y5S,1.27331,-94.51323043496323,Optimization terminated successfully.,True,199,30231,362,23,4
2Y6O,4.88796,-45.650569674804494,Maximum number of iterations has been exceeded.,False,500,78354,347,33,8
2YA8,2.89284,-47.612214260624654,Optimization terminated successfully.,True,184,29686,264,20,7
2YN8,2.70646,-102.94142926092104,Optimization terminated successfully.,True,67,10867,397,35,2
2ZBZ,10.039,-55.14435100432665,Optimization terminated successfully.,True,328,51597,491,30,6
2ZLC,2.67283,-70.7969766687571,Optimization terminated successfully.,True,293,46540,432,30,6
2ZOF,5.58213,-72.14794675006193,Optimization terminated successfully.,True,419,65768,358,22,9
2ZOG,6.01314,-64.66969845828336,Maximum number of iterations has been exceeded.,False,500,75822,341,22,9
2ZOQ,1.31538,-55.20283856989306,Optimization terminated successfully.,True,69,10829,257,20,2
2ZOX,2.03461,-66.42721881129077,Optimization terminated successfully.,True,158,24081,300,21,4
2ZP1,4.64703,-36.3879211609034,Optimization terminated successfully.,True,89,13980,284,14,3
3A62,3.09233,-45.42204523557299,Optimization terminated successfully.,True,102,16313,375,35,2
3AEN,5.37843,-69.27871773943286,Optimization terminated successfully.,True,322,50661,438,22,6
3AEO,7.62304,-90.9691303781105,Optimization terminated successfully.,True,483,75046,445,24,8
3AEP,6.09209,-79.65226343273972,Optimization terminated successfully.,True,199,31473,382,22,6
3AMA,4.10812,-53.56655499115014,Optimization terminated successfully.,True,339,53032,353,27,5
3B0R,3.39065,-103.01802789292036,Optimization terminated successfully.,True,260,39821,310,18,4
3B1E,2.41801,-79.79850336308338,Optimization terminated successfully.,True,115,18889,405,21,6
3BKB,5.38611,-47.453358338855615,Optimization terminated successfully.,True,85,13675,390,35,2
3BL6,3.63972,-97.01550488489889,Optimization terminated successfully.,True,62,9765,308,19,2
3BLO,5.35009,-63.28354513137873,Optimization terminated successfully.,True,147,23374,309,20,3
3BNY,3.03479,-41.00561180478215,Maximum number of iterations has been exceeded.,False,500,77031,329,25,11
3C0Z,3.31357,-47.195423413824656,Optimization terminated successfully.,True,132,20687,162,8,4
3C13,5.3261,-88.11256399419983,Optimization terminated successfully.,True,49,7647,285,20,0
3CBL,0.616675,-59.61512615349813,Optimization terminated successfully.,True,78,12197,319,35,2
3CFN,5.92237,-68.24035226722955,Optimization terminated successfully.,True,124,19495,366,21,3
3CFQ,5.50225,-39.041438885694006,Optimization terminated successfully.,True,112,17577,212,19,4
3CL0,3.26652,-34.1401002483142,Optimization terminated successfully.,True,156,24996,238,20,7
3COT,6.71645,-44.95124074653972,Optimization terminated successfully.,True,62,10174,325,23,1
3CSD,1.72156,-54.35606399332145,Optimization terminated successfully.,True,88,14001,226,20,0
3CYX,6.15227,-56.634410230411575,Maximum number of iterations has been exceeded.,False,500,77890,532,49,16
3D1X,5.78527,-70.74394400560664,Maximum number of iterations has been exceeded.,False,500,77982,597,49,16
3D1Y,7.11658,-70.77866310524071,Maximum number of iterations has been exceeded.,False,500,79178,676,49,16
3DDQ,6.60383,-50.31999620353733,Optimization terminated successfully.,True,123,19640,349,26,2
3DEY,2.75814,-42.5805105671027,Optimization terminated successfully.,True,70,11070,261,21,0
3E6E,2.07801,-40.82898309280934,Optimization terminated successfully.,True,92,15259,282,22,3
3EBH,2.88206,-67.40162899158167,Optimization terminated successfully.,True,328,51542,342,22,9
3ECG,7.49703,-46.28374770842324,Maximum number of iterations has been exceeded.,False,500,77512,516,40,13
3ED0,3.60755,-58.72453785702219,Optimization terminated successfully.,True,67,10760,223,20,0
3EKV,3.05556,-49.21880696487416,Maximum number of iterations has been exceeded.,False,500,77592,386,35,13
3EKX,6.08599,-54.82811256322648,Maximum number of iterations has been exceeded.,False,500,81561,460,40,12
3EL4,8.10549,-55.46109772895683,Maximum number of iterations has been exceeded.,False,500,78603,512,49,16
3EL5,6.48622,-49.789017535305376,Maximum number of iterations has been exceeded.,False,500,81561,542,40,12
3ERN,8.29774,-51.74003982382452,Maximum number of iterations has been exceeded.,False,500,78444,274,19,8
3ERT,1.63247,-75.32149479036885,Optimization terminated successfully.,True,242,38018,348,29,9
3EWD,1.70117,-51.88288280053227,Optimization terminated successfully.,True,103,17272,331,21,3
3FHR,2.22965,-73.32491022860282,Optimization terminated successfully.,True,120,19031,401,26,2
3FJX,5.27954,-67.67283239843084,Optimization terminated successfully.,True,95,15518,309,16,3
3FJZ,5.11079,-71.64601755435747,Optimization terminated successfully.,True,96,15631,272,16,3
3FK0,5.6047,-76.73369132564385,Optimization terminated successfully.,True,104,17445,330,16,3
3FK1,4.14006,-70.53142329631036,Optimization terminated successfully.,True,97,15544,269,16,3
3FME,5.25889,-52.21270411220077,Optimization terminated successfully.,True,80,12645,399,35,2
3FRE,2.43561,-60.72283556290846,Optimization terminated successfully.,True,126,20182,345,21,5
3FTX,5.40771,-80.70118866046342,Optimization terminated successfully.,True,198,30186,394,22,9
3FUH,1.92705,-71.20031244399684,Optimization terminated successfully.,True,469,71364,339,22,9
3FZS,4.92733,-46.95559490165322,Maximum number of iterations has been exceeded.,False,500,81401,526,39,10
3G5H,8.27363,-70.94331882729881,Optimization terminated successfully.,True,252,38599,427,24,4
3G5K,6.62948,-36.110703557506625,Maximum number of iterations has been exceeded.,False,500,81462,362,27,14
3GEQ,5.9697,-46.201531358622724,Optimization terminated successfully.,True,90,14336,303,21,2
3GFD,5.58924,-28.74895763840732,Optimization terminated successfully.,True,71,11706,253,14,3
3H8G,5.21877,-45.76434332099859,Maximum number of iterations has been exceeded.,False,500,76478,340,22,9
3HHU,3.04574,-92.22448145524059,Optimization terminated successfully.,True,274,43382,437,30,5
3HMO,2.63029,-50.446599695679815,Optimization terminated successfully.,True,92,14784,333,35,2
3HUO,5.83107,-56.25386239278859,Optimization terminated successfully.,True,287,45670,341,24,7
3HVF,5.32417,-43.22544620598295,Optimization terminated successfully.,True,378,59418,310,24,7
3IAR,2.63588,-81.62787710118565,Optimization terminated successfully.,True,57,9590,343,18,2
3IQ7,2.36374,-75.27061561780673,Optimization terminated successfully.,True,75,12380,243,20,2
3IRM,1.61568,-42.782289891165064,Optimization terminated successfully.,True,69,10948,244,17,1
3KLM,2.75814,-42.5805105671027,Optimization terminated successfully.,True,70,11070,261,21,0
3KMR,1.03868,-46.23006663908888,Optimization terminated successfully.,True,263,40788,385,26,4
3KPX,8.17265,-105.00709742270242,Optimization terminated successfully.,True,356,56262,498,33,5
3KR4,5.61014,-37.975970441834555,Maximum number of iterations has been exceeded.,False,500,75486,407,22,9
3L3X,0.555523,-49.70487608218202,Optimization terminated successfully.,True,64,10310,259,21,0
3L3Z,0.770912,-51.450128240434495,Optimization terminated successfully.,True,50,7797,254,21,0
3LCS,5.54078,-30.796113697153608,Optimization terminated successfully.,True,88,13717,463,35,2
3LDW,5.51341,-0.52081696144412,Optimization terminated successfully.,True,165,25450,172,16,4
3LPT,5.36841,-26.641769282049296,Optimization terminated successfully.,True,134,21305,290,22,3
3LZ9,4.08087,-27.070916659560837,Maximum number of iterations has been exceeded.,False,500,77031,369,25,11
3M1V,4.92528,-30.317205540233125,Maximum number of iterations has been exceeded.,False,500,81561,324,21,12
3M2R,4.97415,-28.67009229223762,Maximum number of iterations has been exceeded.,False,500,84259,287,21,12
3M2U,3.95999,-24.927956182940427,Maximum number of iterations has been exceeded.,False,500,82188,309,21,12
3M32,5.23723,-26.00168940402371,Maximum number of iterations has been exceeded.,False,500,82283,296,21,12
3M6P,4.65929,-61.64607731210197,Maximum number of iterations has been exceeded.,False,500,80895,412,27,14
3M7R,9.41225,-49.47993782433561,Optimization terminated successfully.,True,334,52767,387,30,6
3MDV,6.37105,-58.43554815686776,Optimization terminated successfully.,True,176,27892,390,25,4
3MN5,5.21563,-42.07226355646136,Optimization terminated successfully.,True,109,17108,375,27,1
3MNE,6.97111,-59.70079635881453,Optimization terminated successfully.,True,59,9309,372,28,2
3MNO,7.11151,-38.55356682096299,Optimization terminated successfully.,True,98,15237,409,28,2
3MNP,6.93864,-45.09559520116393,Optimization terminated successfully.,True,106,16723,377,28,2
3MUF,1.74166,-61.80942309994543,Optimization terminated successfully.,True,77,13244,262,16,3
3MXF,4.95262,-48.710444864678614,Optimization terminated successfully.,True,378,59290,347,31,5
3NM5,2.42484,-61.79500644274937,Optimization terminated successfully.,True,88,14167,302,19,2
3NPC,8.46917,-52.7287240619878,Maximum number of iterations has been exceeded.,False,500,80517,522,39,10
3NU3,7.27333,-47.572275099590684,Maximum number of iterations has been exceeded.,False,500,76572,500,35,13
3NU4,6.41245,-62.526538134698725,Maximum number of iterations has been exceeded.,False,500,76572,419,35,13
3NU5,8.1705,-43.66615435826384,Maximum number of iterations has been exceeded.,False,500,77812,426,35,13
3NU6,7.37169,-46.502124238671726,Maximum number of iterations has been exceeded.,False,500,77292,363,35,13
3NU9,5.85398,-60.208626831721375,Maximum number of iterations has been exceeded.,False,500,77332,412,35,13
3NVS,6.13609,-71.9726702137103,Optimization terminated successfully.,True,88,14317,290,16,3
3O02,7.58789,-52.76705679603256,Optimization terminated successfully.,True,101,15936,346,28,3
3O2K,3.46339,-43.8187513689995,Optimization terminated successfully.,True,84,13406,345,21,2
3O4V,5.90605,-99.67103518149062,Optimization terminated successfully.,True,218,34878,429,26,5
3O6O,3.59565,-45.996956740002844,Optimization terminated successfully.,True,121,19416,372,22,3
3O9A,4.70666,-50.229867680085476,Maximum number of iterations has been exceeded.,False,500,85422,417,40,15
3O9B,7.02092,-44.17874294765998,Maximum number of iterations has been exceeded.,False,500,86808,361,40,15
3O9C,7.87839,-45.808545982613055,Maximum number of iterations has been exceeded.,False,500,80601,495,41,14
3O9E,3.43826,-55.558659939204105,Maximum number of iterations has been exceeded.,False,500,84630,580,40,15
3O9F,7.84491,-51.74297642647812,Maximum number of iterations has been exceeded.,False,500,79155,367,41,16
3O9G,5.77741,-62.07824718707703,Maximum number of iterations has been exceeded.,False,500,78419,482,41,16
3O9H,7.6821,-53.762403282060234,Maximum number of iterations has been exceeded.,False,500,86874,507,42,15
3O9I,3.05174,-47.783646131398015,Maximum number of iterations has been exceeded.,False,500,85048,468,42,15
3OFM,1.39254,-58.50264827972073,Optimization terminated successfully.,True,166,26651,243,17,3
3ONF,1.10577,-115.3954580134393,Optimization terminated successfully.,True,54,8549,324,18,2
3ONI,6.57656,-49.94889514028369,Optimization terminated successfully.,True,341,52920,316,31,5
3OXC,7.02095,-53.758580056178886,Maximum number of iterations has been exceeded.,False,500,78097,540,49,16
3OXV,7.77139,-51.40103335281131,Maximum number of iterations has been exceeded.,False,500,78172,366,35,13
3OZC,5.96983,-99.61995271525313,Optimization terminated successfully.,True,252,39610,382,26,5
3P86,3.58004,-48.52465450604048,Optimization terminated successfully.,True,119,18429,398,35,2
3PC3,3.43519,-54.23563868914587,Optimization terminated successfully.,True,223,35867,332,21,6
3PE1,6.79863,-73.53510150027446,Optimization terminated successfully.,True,146,22701,320,25,3
3PHC,5.16094,-46.512407376270076,Optimization terminated successfully.,True,125,19938,326,20,3
3PN4,5.37981,-79.17957793952077,Optimization terminated successfully.,True,415,68261,455,27,14
