ID,HET,SMILES
1a53_igp_lig,igp,O[C@@H]([C@@H]1CNC2CCCC[C@@H]21)[C@H](O)CO[PH](O)(O)O
1a5b_igp_lig,igp,O[C@H]([C@H](O)CO[PH](O)(O)O)[C@@H]1CNC2CCCCC21
1a5h_bba_lig,bba,NC(N)C1CCC(C[C@@H]2CCCC[C@@H](CC3CCC(C(N)N)CC3)C2O)CC1
1a5v_y3_lig,y3,CC(O)NC1CC(S(O)(O)O)CC2CC(S(O)(O)O)CC(O)C21
1a69_fmb_lig,fmb,OC[C@H]1O[C@@H]([C@@H]2NNC3C(O)NCNC32)[C@H](O)[C@@H]1O
1a6v_npc_lig,npc,O=C([O-])CCCCCNC(=O)Cc1ccc(O)c([N+](=O)[O-])c1
1a6w_nip_lig,nip,CCN[C@@H](O)CC1CC(I)C(O)[C@@H](N(O)O)C1
1a71_etf_lig,etf,OCC(F)(F)F
1a71_nad_lig,nad,NC1NCNC2C1NCN2[C@@H]1O[C@H](CO[PH](O)(O)O[PH](O)(O)OC[C@H]2O[C@@H](N3CCC[C@H]([C@@H](N)O)C3)[C@H](O)[C@@H]2O)[C@@H](O)[C@H]1O
1a72_pad_lig,pad,NC(O)C1CCC[C@H]([C@@H]2O[C@H](CO[PH](O)(O)O[PH](O)(O)OC[C@H]3O[C@@H](N4CNC5C4NCN[C@@H]5N)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)N1
1a7a_adc_lig,adc,NC1NCNC2C1NCN2[C@@H]1CC[C@H](O)[C@H]1O
1a7x_fka_lig,fka,CO[C@H]1C[C@@H](C)CC(C)C[C@@H](CCOC(O)NCC2CCCCC2)C(O)C[C@H](O)[C@@H](C)[C@@H](C(C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)OC(O)[C@@H]2CCCCN2C(O)C(O)[C@]2(O)O[C@H]1[C@@H](OC)C[C@H]2C
1a82_atp_lig,atp,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO[P@](=O)(O)O[P@@](=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O
1a82_dnn_lig,dnn,C[C@H](N)[C@@H](N)CCCCCC(O)O
1a85_0dy_lig,0dy,CC(C)C[C@@H](C(O)N[C@@H](CC(N)O)[C@@H](O)NC[C@H]1CCC[C@@H](N)C1)[C@H](O)NO
1a86_0zb_lig,0zb,CC(C)C[C@@H](C(O)N[C@@H](CC(O)O)C(O)NCC1CCCCC1)[C@H](O)NO
1a8t_061_lig,061,CCCCC1NC2CCC(O)CC2C(O)N1CC1CCC(C2CCCC[C@@H]2C2NNNN2)CC1
1a95_gun_lig,gun,Nc1nc2[nH]cnc2c(=O)[nH]1
1a95_pcp_lig,pcp,O[C@@H]1[C@@H](CO[PH](O)(O)O)C[C@H](O[PH](O)(O)O[PH](O)(O)O)[C@@H]1O
1a96_pcp_lig,pcp,O[C@@H]1[C@@H](CO[PH](O)(O)O)C[C@H](O[PH](O)(O)O[PH](O)(O)O)[C@@H]1O
1a96_xan_lig,xan,O=c1[nH]c(=O)c2nc[nH]c2[nH]1
1a97_5gp_lig,5gp,NC1NC(O)C2NCN([C@@H]3O[C@H](CO[PH](O)(O)O)[C@@H](O)[C@H]3O)C2N1
1a9p_9di_lig,9di,OC[C@H]1O[C@@H]([C@H]2CNC3C(O)NCNC32)[C@H](O)[C@@H]1O
1a9s_nos_lig,nos,OC[C@H]1O[C@@H](N2CNC3C(O)NCNC32)[C@H](O)[C@@H]1O
1a9t_hpa_lig,hpa,OC1NCNC2NCNC12
1a9t_r1p_lig,r1p,OC[C@H]1O[C@H](O[PH](O)(O)O)[C@H](O)[C@@H]1O
1aa1_3pg_lig,3pg,O=C(O)[C@H](O)COP(=O)(O)O
1aax_bpm_lig,bpm,O[PH](O)(O)OC1CCC(C[C@H]2CC[C@H](O[PH](O)(O)O)CC2)CC1
1ab8_fok_lig,fok,CC[C@@]1(C)CC(O)[C@]2(O)[C@@]3(C)[C@@H](O)CCC(C)(C)[C@@H]3[C@H](O)[C@H](OC(C)O)[C@@]2(C)O1
1ac4_tmt_lig,tmt,CC1CSC(C)N1C
1ac8_tmz_lig,tmz,C[C@@H]1SCN(C)[C@H]1C
1acj_tha_lig,tha,NC1C2CCCCC2N[C@H]2CCCC[C@H]12
1acm_pal_lig,pal,OC(O)C[C@H](NC(O)C[PH](O)(O)O)C(O)O
1aco_tra_lig,tra,OC(O)CC(CC(O)O)C(O)O
1ad4_hh2_lig,hh2,NC1NC(O)[C@@H]2NC(CO[PH](O)(O)O[PH](O)(O)O)CNC2N1
1ad5_anp_lig,anp,NC1NCNC2C1NCN2[C@@H]1O[C@H](CO[PH](O)(O)O[PH](O)(O)N[PH](O)(O)O)[C@@H](O)[C@H]1O
1adb_cnd_lig,cnd,NC1NCNC2C1NCN2[C@@H]1O[C@H](CO[PH](O)(O)O[PH](O)(O)OC[C@H]2O[C@@H](C3CNC[C@H](C(N)O)C3)[C@H](O)[C@@H]2O)[C@@H](O)[C@H]1O
1adc_pad_lig,pad,NC(O)C1CCC[C@@H]([C@@H]2O[C@H](CO[PH](O)(O)O[PH](O)(O)OC[C@H]3O[C@@H](N4CNC5C4NCN[C@@H]5N)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)N1
1add_1da_lig,1da,NC1CCNC2C1NCN2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
1adf_tad_lig,tad,NC(O)C1CSC([C@@H]2O[C@H](CO[PH](O)(O)C[PH](O)(O)OC[C@H]3O[C@@H](N4CN[C@@H]5C(N)NCN[C@@H]54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)N1
1adg_sad_lig,sad,NC(O)C1C[Se][C@H]([C@@H]2O[C@H](CO[PH](O)(O)C[PH](O)(O)OC[C@H]3O[C@@H](N4CN[C@@H]5C(N)NCN[C@@H]54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)N1
1adl_acd_lig,acd,CCCCCCCCCCCCCCCCCCCC(O)O
1ady_ham_lig,ham,NC1NCNC2C1NCN2[C@@H]1O[C@H](CO[PH](O)(O)OC(O)[C@@H](N)C[C@@H]2CNCN2)[C@@H](O)[C@H]1O
1aeb_3mt_lig,3mt,CN1CCSC1
1aed_dti_lig,dti,CC1CSCN1C
1aee_anl_lig,anl,NC1CCCCC1
1aef_3ap_lig,3ap,NC1CCCNC1
1aeg_4ap_lig,4ap,NC1CCNCC1
1aeh_24t_lig,24t,CC1CSC(N)N1
1aej_nvi_lig,nvi,CCN1CCNC1
1aek_idm_lig,idm,C1CCC2NCCC2C1
1aem_mpi_lig,mpi,C1CCN2CCNC2C1
1aen_25t_lig,25t,CC1CNC(N)S1
1aeo_2ap_lig,2ap,NC1CCCCN1
1aeq_2ez_lig,2ez,CCC1NCCN1
1aer_amp_lig,amp,N[C@H]1NCNC2[C@@H]1NCN2[C@@H]1O[C@H](CO[PH](O)(O)O)[C@@H](O)[C@H]1O
1aer_tia_lig,tia,C[C@H]1O[C@@H]([C@@H]2NC(C(N)O)CS2)[C@H](O)[C@@H]1O
1aet_1mz_lig,1mz,CN1CCNC1
1aeu_2mz_lig,2mz,CC1NCCN1
1aev_amt_lig,amt,NC1NCCS1
1afa_mbg_lig,mbg,CO[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O
1afk_pap_lig,pap,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO[P@@](=O)(O)OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H]1O
1afl_atr_lig,atr,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO[P@@](=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1OP(=O)(O)O
1afq_0fg_lig,0fg,CC(C)C[C@@H](N)C(=O)N[C@@H](Cc1ccccc1)C(=O)NCc1ccc(F)cc1
1afs_tes_lig,tes,C[C@]12CC[C@H]3[C@@H](CCC4CC(O)CC[C@@]43C)[C@@H]1CC[C@@H]2O
1agm_acr_lig,acr,C[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O[C@H]3[C@H](O)[C@@H](O)[C@H](O)O[C@@H]3CO)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
1agw_su2_lig,su2,OCN1CCN(C2CCC(CC3C(O)NC4CCCCC43)CC2)CC1
1ah0_sbi_lig,sbi,OC1NC(O)[C@@]2(CCO[C@@H]3CCC(F)CC32)N1
1ah3_tol_lig,tol,COC1CCC2C(C(S)N(C)CC(O)O)CCCC2C1C(F)(F)F
1ahb_fmp_lig,fmp,N[C@H]1NCNC2C1NN[C@H]2[C@@H]1O[C@H](CO[PH](O)(O)O)[C@@H](O)[C@H]1O
1ai3_ndo_lig,ndo,NC(O)C1CCCN([C@@H]2O[C@H](CO[PH](O)(O)O[PH](O)(O)OC[C@H]3O[C@@H](N4CNC5C(O)NCNC54)[C@H](O[PH](O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C1
1ai4_dhy_lig,dhy,OC(O)CC1CCC(O)C(O)C1
1ai5_mnp_lig,mnp,OC(O)CC1CCCC(N(O)O)C1
1ai6_4hp_lig,4hp,OC(O)CC1CCC(O)CC1
1ai7_iph_lig,iph,OC1CCCCC1
1aia_pmp_lig,pmp,CC1NCC(CO[PH](O)(O)O)C(CN)C1O
1aj0_ph2_lig,ph2,NC1NC(O)C2N[C@@H](CO)CNC2N1
1aj0_san_lig,san,Nc1ccc(S(N)(=O)=O)cc1
1aj2_2ph_lig,2ph,NC1N[C@H]2NCC(CO[PH](O)(O)O[PH](O)(O)O)N[C@H]2[C@@H](O)N1
1aj6_nov_lig,nov,CO[C@@H]1[C@@H](OC(N)O)[C@@H](O)[C@H](O[C@@H]2CC[C@@H]3C(O)[C@H](NC(O)[C@H]4CCC(O)[C@H](CCC(C)C)C4)C(O)O[C@H]3[C@@H]2C)OC1(C)C
1ajn_aan_lig,aan,OC(O)CC1CCC(N(O)O)CC1
1ajp_omd_lig,omd,OC(O)CC1CC(O)CCC1O
1ajq_spa_lig,spa,OC(O)CC1CCCS1
1ajs_pla_lig,pla,CC1NC[C@@H](CO[PH](O)(O)O)C(CN[C@@](C)(CC(O)O)C(O)O)[C@H]1O
1ajv_nmb_lig,nmb,O[C@@H]1[C@@H](O)[C@@H](COC2CCCCC2)N(CC2CCCCC2)S(O)(O)N(CC2CCCCC2)[C@@H]1COC1CCCCC1
1ajx_ah1_lig,ah1,OC1N(CC2CCCCC2)[C@H](COC2CCCCC2)[C@H](O)[C@@H](O)[C@@H](COC2CCCCC2)N1CC1CCCCC1
1aka_plp_lig,plp,CC1NCC(CO[PH](O)(O)O)C(CO)C1O
1akb_ppd_lig,ppd,CC1NCC(CO[PH](O)(O)O)C(CN[C@@H](CC(O)O)C(O)O)C1O
1akc_ppe_lig,ppe,CC1NCC(CO[PH](O)(O)O)C(CN[C@@H](CCC(O)O)C(O)O)C1O
1al7_hst_lig,hst,CCCCCC(CCCCC)S[C@@H]1NNN[C@H]1C(O)O
1al8_dhp_lig,dhp,CCCCCCCCCCC1C(O)NC(O)C1O
1aln_ctd_lig,ctd,NC1CCN([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)[C@H](O)C1
1alw_isa_lig,isa,OC(O)[C@@H](S)C[C@H]1CC[C@@H](I)CC1
1ama_pla_lig,pla,CC1NCC(CO[PH](O)(O)O)C(CN[C@@](C)(CC(O)O)C(O)O)C1O
1ami_mic_lig,mic,C[C@](O)(C(O)O)[C@H](CC(O)O)C(O)O
1amr_pmp_lig,pmp,CC1NC[C@@H](CO[PH](O)(O)O)[C@@H](CN)C1O
1amw_adp_lig,adp,NC1NCNC2C1NCN2[C@@H]1O[C@H](CO[PH](O)(O)O[PH](O)(O)O)[C@@H](O)[C@H]1O
1an5_cb3_lig,cb3,C#CCN(Cc1ccc2[nH]c(N)nc(=O)c2c1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1
1an9_be2_lig,be2,Nc1ccccc1C(=O)O
1an9_fad_lig,fad,CC1C[C@@H]2N[C@H]3C(NC(O)N[C@H]3O)N(C[C@@H](O)[C@H](O)[C@@H](O)CO[PH](O)(O)O[PH](O)(O)OC[C@H]3O[C@@H](N4CN[C@H]5[C@H](N)NCN[C@H]54)[C@H](O)[C@@H]3O)[C@@H]2C[C@@H]1C
1anb_ben_lig,ben,N=C(N)c1ccccc1
1anc_ben_lig,ben,N=C(N)c1ccccc1
1and_ben_lig,ben,NC(N)C1CCCCC1
1aob_ddu_lig,ddu,C[C@H]1O[C@@H](N2CC[C@@H](O)NC2O)C[C@@H]1O
1aod_ins_lig,ins,O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O
1aoe_gw3_lig,gw3,CCC(CC)N1CCC2[C@@H]3C(N)NC(N)N[C@H]3CC[C@H]21
1aqi_sah_lig,sah,NC1NCNC2C1NCN2[C@@H]1O[C@H](CSCC[C@H](N)C(O)O)[C@@H](O)[C@H]1O
1aqj_sfg_lig,sfg,NC1NCN[C@@H]2[C@H]1NCN2[C@@H]1O[C@H](C[C@@H](N)CC[C@H](N)C(O)O)[C@@H](O)[C@H]1O
1aql_tch_lig,tch,C[C@@H](CCC(=O)NCCS(=O)(=O)O)[C@H]1CC[C@H]2[C@H]3C(C[C@H](O)[C@]12C)[C@@]1(C)CC[C@H](O)C[C@@H]1C[C@H]3O
1aqu_a3p_lig,a3p,NC1NCNC2C1NCN2[C@@H]1O[C@H](CO[PH](O)(O)O)[C@@H](O[PH](O)(O)O)[C@H]1O
1aqv_0hg_lig,0hg,[NH3+][C@@H](CCC(O)N[C@@H](CSCC1CCC(Br)CC1)[C@H](O)NCC(O)O)C(O)O
1aqx_gtd_lig,gtd,N[C@@H](CCC(O)N[C@@H](CSC1C(N(O)O)CC(N(O)O)CC1N(O)O)C(O)NCC(O)O)C(O)O
1arg_ppd_lig,ppd,CC1NC[C@@H](CO[PH](O)(O)O)C(CN[C@@H](CC(O)O)C(O)O)C1O
1arh_ppd_lig,ppd,CC1NCC(CO[PH](O)(O)O)C(CN[C@@H](CC(O)O)C(O)O)C1O
1arz_pdc_lig,pdc,OC(O)C1CCCC(C(O)O)N1
1as0_gsp_lig,gsp,NC1NC(O)[C@H]2NCN([C@@H]3O[C@H](CO[PH](O)(O)O[PH](O)(O)O[PH](O)(O)S)[C@@H](O)[C@H]3O)C2N1
1as3_gdp_lig,gdp,N[C@H]1NC(O)[C@@H]2NCN([C@@H]3O[C@H](CO[PH](O)(O)O[PH](O)(O)O)[C@@H](O)[C@H]3O)C2N1
1asc_npl_lig,npl,C[C@@H]1C(O)[C@@H](CN)[C@H](CO[PH](O)(O)O)CN1C
1asl_pla_lig,pla,CC1NCC(CO[PH](O)(O)O)[C@@H](CN[C@@](C)(CC(O)O)C(O)O)[C@H]1O
1at1_mli_lig,mli,OC(O)CC(O)O
1at1_pct_lig,pct,NC(O)C[PH](O)(O)O
1atl_0qi_lig,0qi,COC1CCC(C[C@H](NC(O)[C@@H](CS)CC(C)C)C(O)O)CC1
1atr_adp_lig,adp,NC1NCNC2C1NCN2[C@@H]1O[C@H](CO[PH](O)(O)O[PH](O)(O)O)[C@@H](O)[C@H]1O
1ats_adp_lig,adp,NC1NCNC2C1NCN2[C@@H]1O[C@H](CO[PH](O)(O)O[PH](O)(O)O)[C@@H](O)[C@H]1O
1av5_ap2_lig,ap2,NC1NCNC2C1NCN2[C@@H]1O[C@H](CO[PH](O)(O)C[PH](O)(O)O)[C@@H](O)[C@H]1O
1awb_ipd_lig,ipd,O[C@@H]1[C@@H](O)[C@@H](O)[C@@H](O[PH](O)(O)O)[C@H](O)[C@H]1O
1ax9_edr_lig,edr,CC[N+](C)(C)C1CCCC(O)C1
1axe_etf_lig,etf,OCC(F)(F)F
1axe_nad_lig,nad,NC(O)C1CCCN([C@@H]2O[C@H](CO[PH](O)(O)O[PH](O)(O)OC[C@H]3O[C@@H](N4CNC5C(N)NCNC54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C1
1axg_etf_lig,etf,OCC(F)(F)F
1axg_nad_lig,nad,NC(O)C1CCCN([C@@H]2O[C@H](CO[PH](O)(O)O[PH](O)(O)OC[C@H]3O[C@@H](N4CNC5C(N)NCNC54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C1
1axw_mtx_lig,mtx,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1
1axw_ump_lig,ump,OC1CCN([C@H]2C[C@H](O)[C@@H](CO[PH](O)(O)O)O2)C(O)N1
1axz_gla_lig,gla,OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@H]1O
1ay0_tpp_lig,tpp,CC1NCC(CN2CS[C@@H](CCO[PH](O)(O)O[PH](O)(O)O)[C@H]2C)[C@H](N)N1
1ay5_mae_lig,mae,OC(O)CCC(O)O
1ay8_hci_lig,hci,OC(O)CCC1CCCCC1
1ayp_inb_lig,inb,CCCCCCCCCCCCCCCCCCOC[C@H](CO[PH](O)(O)OCCSC)NC(C)O
1az1_alr_lig,alr,O=C(O)CN1C(=O)c2cccc3cccc(c23)C1=O
1az8_in4_lig,in4,COC(O)C[C@H](CCC1CCC(C(N)N)CC1)C1CCCC(C(N)N)C1
1azm_azm_lig,azm,CC(O)N[C@H]1NN[C@H](S(N)(O)O)S1
1b09_pc_lig,pc,C[N+](C)(C)CCO[PH](O)(O)O
1b11_3tl_lig,3tl,CC(C)[C@H](NC(O)[C@H](C)NC(O)OCC1CCCCC1)C(O)N[C@H](CO)CC1CCCCC1
1b3d_s27_lig,s27,CC(C)C[C@H]([C@@H](O)NO)N(CC1CCCCC1)[PH](C)(O)C1CCCCC1
1b42_m1a_lig,m1a,CN1CNC2NCNC2C1N
1b48_gsh_lig,gsh,N[C@@H](CCC(O)N[C@@H](CS)C(O)NCC(O)O)C(O)O
1b48_hag_lig,hag,CCCCC[C@H]1O[C@@H](O)C[C@@H]1SC[C@H](NC(O)CC[C@H](N)C(O)O)C(O)NCC(O)O
1b4s_adp_lig,adp,N[C@@H]1NCNC2[C@@H]1NCN2[C@@H]1O[C@H](CO[PH](O)(O)O[PH](O)(O)O)[C@@H](O)[C@H]1O
1b56_plm_lig,plm,CCCCCCCCCCCCCCCC(O)O
1b57_pgh_lig,pgh,ON[C@H](O)CO[PH](O)(O)O
1b5q_fad_lig,fad,CC1C[C@H]2[C@H](C[C@H]1C)N[C@H]1[C@H](O)NC(O)N[C@@H]1N2C[C@H](O)[C@H](O)[C@H](O)CO[PH](O)(O)O[PH](O)(O)OC[C@H]1O[C@@H](N2CNC3C(N)NCNC32)[C@H](O)[C@@H]1O
1b5q_md2_lig,md2,C=C=CCNCCCCNCC=C=C
1b66_bio_lig,bio,C[C@@H](O)[C@@H](O)C1CNC2NC(N)NC(O)C2N1
1b6t_cod_lig,cod,CC(C)(CO[PH](O)(O)O[PH](O)(O)OC[C@H]1O[C@@H](N2CNC3C(N)NCNC32)[C@H](O)[C@@H]1O)[C@@H](O)C(O)NCCC(O)NCCS
1b7y_fya_lig,fya,NC1NCNC2C1NCN2[C@@H]1O[C@H](CO[PH](O)(O)OC[C@@H](N)CC2CCCCC2)[C@@H](O)[C@H]1O
1b8n_img_lig,img,N[C@@H]1NC2C(NCC2[C@@H]2N[C@H](CO)[C@@H](O)[C@H]2O)[C@@H](O)N1
1b8o_imh_lig,imh,OC[C@H]1N[C@@H](C2CNC3C(O)NCNC32)[C@H](O)[C@@H]1O
1b8y_in7_lig,in7,OC(O)CNS(O)(O)C1CCC(N2CCC(C3CCCCC3)CC2)CC1
1b99_fup_lig,fup,OC1CCN([C@H]2C[C@H](F)[C@@H](CO[PH](O)(O)O[PH](O)(O)O)O2)C(O)N1
1b9i_pxg_lig,pxg,C[C@H]1NC[C@H](CO[PH](O)(O)O)C(CNC2CCCC(C(O)O)C2)C1O
1b9s_fdi_lig,fdi,CCC(CC)C(O)NC1CC(C(O)O)CCC1NC(C)O
1b9t_rai_lig,rai,NC(N)NC1CC(C(O)O)CCC1N1C(O)CCC1(CO)CO
1b9v_ra2_lig,ra2,CCC(CC)NC1CC(C(O)O)CCC1N1C(O)CCC1(CO)CO
1ba0_adp_lig,adp,N[C@H]1NCNC2C1NCN2[C@@H]1O[C@H](CO[PH](O)(O)O[PH](O)(O)O)[C@@H](O)[C@H]1O
1ba1_adp_lig,adp,N[C@H]1NCNC2C1NCN2[C@@H]1O[C@H](CO[PH](O)(O)O[PH](O)(O)O)[C@@H](O)[C@H]1O
1bb6_umg_lig,umg,CC(=O)N[C@H]1[C@@H](Oc2ccc3c(C)cc(=O)oc3c2)O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3NC(C)=O)[C@H](O)[C@H]2NC(C)=O)[C@@H]1O
1bb7_gum_lig,gum,CC(O)N[C@H]1[C@H](OC2CCC3C(C)CC(O)OC3C2)O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2NC(C)O)[C@@H]1O
1bd0_in5_lig,in5,CC1NCC(CO[PH](O)(O)O)C(CN[C@@H](C)[PH](O)(O)O)C1O
1bd4_ura_lig,ura,OC1CCN[C@@H](O)N1
1bdu_dur_lig,dur,OC[C@H]1O[C@@H](N2CC[C@@H](O)NC2O)C[C@@H]1O
1ben_hbd_lig,hbd,NC(=O)c1ccc(O)cc1
1beu_ipl_lig,ipl,O[PH](O)(O)OCCC[C@H]1CN[C@H]2CCCC[C@@H]12
1bg9_af1_lig,af1,C[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1CC(CO)C(O)[C@H](O)[C@H]1O
1bgg_gco_lig,gco,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(O)O
1bgq_rdc_lig,rdc,C[C@@H]1C[C@H]2O[C@@H]2CCCCC(O)CC2C(Cl)C(O)CC(O)C2C(O)O1
1bh2_gsp_lig,gsp,N[C@H]1NC2C(NCN2[C@@H]2O[C@H](CO[PH](O)(O)O[PH](O)(O)O[PH](O)(O)S)[C@@H](O)[C@H]2O)[C@H](O)N1
1bh5_gtx_lig,gtx,CCCCCCSC[C@H](NC(O)CC[C@H](N)C(O)O)[C@H](O)NCC(O)O
1bid_ump_lig,ump,OC1CCN([C@H]2C[C@H](O)[C@@H](CO[PH](O)(O)O)O2)C(O)N1
1bil_0iu_lig,0iu,CC(C)C[C@H](O)[C@H](O)[C@H](CC1CCCCC1)N[C@H](O)[C@@H](CC(O)N(CC(O)N(C)C)[C@@H](C)C1CCCCC1)C[C@H]1CSC(N)N1
1bim_0qb_lig,0qb,C[C@@H](C1CCCCC1)N(CC(O)N(C)C)C(O)C[C@@H](C[C@H]1CSC(N)N1)[C@@H](O)N[C@@H](CC1CCCCC1)[C@@H](O)[C@@H]1CC(C)(C)N(C)[C@H]1O
1biw_s80_lig,s80,COCCN1CCCC[C@H](NC(O)[C@H](CC(C)C)[C@H](CCCO)C(O)NO)[C@@H]1O
1bji_dpc_lig,dpc,CCCN(CCC1CCCCC1)C(O)[C@@H]1OC(C(O)O)C[C@H](N)[C@H]1NC(C)O
1bju_gp6_lig,gp6,NC(N)C1CCC(NC(O)NC2CCC(Cl)CC2)CC1
1bjv_gp8_lig,gp8,NC(N)C1CCC(NC(O)NC2CCC(OC3CCCCC3)CC2)CC1
1bk0_acv_lig,acv,CC(C)[C@@H](N[C@H](O)[C@H](CS)N[C@@H](O)CCC[C@H](N)C(O)O)C(O)O
1bkc_inn_lig,inn,CC(C)C[C@H](C[C@@H](O)NO)[C@@H](O)N[C@H]([C@@H](O)N[C@]1(C)O[C@@H]1NCCN)C(C)(C)C
1bke_b3i_lig,b3i,O=C(O)c1cc(I)cc(I)c1I
1bke_myr_lig,myr,CCCCCCCCCCC(=O)O
